Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,2,6,-,0,-,-,-,-,-
c.M,700,Mid,7,3,12,0,4,-,2,-,-,-,-,-
c.H,800200200,Mid,10,6,19,-2,2,-,4,-,-,-,-,-
Auto Combo 1c.XX,200150,Mid,-,-,16,-2,2,-,2,-,-,-,-,-
Auto Combo 2c.XXX,280,Mid,-,-,20,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,3,15,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,8,4,17,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,10,9,24,-16,-12,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,7,6,14,-5,-1,-,2,-,-,-,-,-
2H,1000,Mid,12,6,28,-16,-12,-,3,-,-,-,-,-
2U,-,Low,9,6,18,-9,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,600,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.H,400200200,High/Air [All],9,-,-,-,-,-,2,-,-,-,-,-
j.U,800,High/Air,11,-,-,-,-,-,2,-,-,-,-,-
5U,-,-,12,13,15,-,-,-,-,-,-,-,-,-
Ground Throw,1500,Throw,-,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Airthrow,-,-,Until Landing,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-36 Throw 23-36 Low 22-35 Airborne
236L lvl 1,800,All,18,-,-,-4,0,-,2,-,-,-,-,-
236L lvl 2,800100,All,33,-,-,3,7,-,2,-,-,-,-,-
236M lvl 1,900100,All,38,-,-,4,12,-,2,-,-,-,-,-
236M lvl 2,900100100,All,59,-,-,11,KD,-,2,-,-,-,-,-
236M lvl 3,900100100100100,All,83,-,-,26,KD,-,2,-,-,-,-,-
236H lvl 1,500500100,All,18,-,-,2,HKD,-,2,-,-,-,-,-
236H lvl 2,500100500100100,All,33,-,-,9,HKD,-,2,-,-,-,-,-
236H lvl 3,5.001E+23,All,48,-,-,23,HKD,-,2,-,-,-,-,-
623L,1000,All,11,-,-,-30,KD,-,2 (10) [14],-,-,-,-,-
623M,1000,All,19,-,-,-30,KD,-,2 (10) [16],-,-,-,-,-
623H,1200,Mid,11,-,-,-26,HKD,-,4 (10) [18],-,-,-,-,-
214L,200400400,Mid,16,-,-,-6,KD,-,4,-,-,-,-,-
214M,250500500,Low,20,-,-,-5,KD,-,4,-,-,-,-,-
214H,2.002E+17,"Low, Mid",14,-,-,-3,HKD,-,4,-,-,-,-,-
22L,100,All,25,27,14,-2,22,-,3 [4],-,-,-,-,-
22M,100,All,40,27,14,-2,22,-,3 [4],-,-,-,-,-
22H,100,All,25,27,19,2,29,-,3 [4],-,-,-,-,-
j.214L,900,All,22,-,-,-2,KD,-,3 [2],-,-,-,-,-
j.214M,1200,All,34,-,-,4,KD,-,3 [2],-,-,-,-,-
j.214H,800400,All,13,-,-,4,HKD,-,3 [2],-,-,-,-,-
236236H,2500,All,7+4,-,-,-39,HKD,-,4 (20) [25],-,-,-,-,-
214214H,2500,Throw,13+0,-,-,HKD,HKD,-,"0, 4 (30) [35]",-,-,-,-,-
236236U,4500,Mid,8+7,-,-,-26,HKD,-,4 (30) [35],-,-,-,-,-
