Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,2,6,-,0,-,-,-,-,-
c.M,700,Mid,6,3,16,-4,0,-,2,-,-,-,-,-
c.H,1200,Mid,9,6,15,-2,2,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,350,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,3,15,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,8,3,18,-6,-2,-,2,-,-,-,-,-
f.H,1300,Mid,24,6,18,-5,-1,-,4,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,9,5,15,-2,2,-,2,-,-,-,-,-
2H,1000 [1200],Mid,14 [27],6,24,-13 [-11],-9 [-7],-,43924,-,-,-,-,-
2U,700,Low,9,6,18,-9,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,8,-,-,-,-,-,2,-,-,-,-,-
j.U,"300, 700",High/Air,6,-,-,-,-,-,2,-,-,-,-,-
5U,1500,Unblockable,6,17,25,-,-,-,2,-,-,-,-,-
Ground Throw,1500,Throw,7,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Airthrow,5,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,3,20,-4,1,-,4,-,-,-,-,4-31 Throw 10-31 Low 9-30 Airborne
[4]6L,1000,Mid,13,14,8,-7,-3,-,3 [1],-,-,-,-,-
[4]6M,1400,Mid,16,15,8,-12,KD,-,4 [3],-,-,-,-,-
[4]6H,1200,Mid,11,16,8,-4,HKD,-,4 [2],-,-,-,-,-
[2]8L,"500, 600","Mid, All",11,23,23,-8~-10,KD,-,"4 (10, 0) [14, 0]",-,-,-,-,-
[2]8M,"800, 600","Mid, All",11,35,23,-8~-9,KD,-,"4 (10, 0) [16, 0]",-,-,-,-,-
[2]8H,"100*8, 600",Mid,11,29,23,-8,HKD,-,"4 (10, 0) [18, 0]",-,-,-,-,-
214L,"200*2, 400",Mid,7,22,15,-2,2,-,2,-,-,-,-,-
214M,200*5,Mid,18,42,12,1,5,-,2,-,-,-,-,-
214H,200*5,Mid,12,43,9,4,8,-,2,-,-,-,-,-
22L,-,-,26,-,-,-,-,-,-,-,-,-,-,-
22M,-,-,26,-,-,-,-,-,-,-,-,-,-,-
22H,-,-,26,-,-,-,-,-,-,-,-,-,-,-
22X,1200,Low,7 after landing,15,14,-10,KD,-,4,-,-,-,-,-
22X > L,800,All,9,-,-,1,3,-,1,-,-,-,-,-
22X > M,1200,High/Air,17,-,-,-3,KD,-,4,-,-,-,-,-
22X > H,"500, 1000",Throw,5,-,-,-,KD,-,"0, 4",-,-,-,-,-
236236H,"500, 250*8, 1000",Mid,8+5,-,-,-20,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"1500, 3000 [2000]","Mid, All",6+2,-,-,-18,HKD,-,4 (30) [35],-,-,-,-,-
