Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,2,6,-,0,-,-,-,-,-
c.M,700,Mid,6,3,12,0,4,-,2,-,-,-,-,-
c.H,1200,Mid,8,4,18,-3,1,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,350,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,5,11,-3,1,-,1,-,-,-,-,-
f.M,700,Mid,8,3,18,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,10,5,21,-9,-5,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,7,6,10,-1,3,-,2,-,-,-,-,-
2H,1000,Mid,10,6,24,-13,-9,-,3,-,-,-,-,-
2U,700,Low,7,6,21,-12,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,600,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.U,700,High/Air,12,-,-,-,-,-,2,-,-,-,-,-
5U,800/1000/1200/1400/1800,All,29,5,14,-2,+2[KD],-,3,-,-,-,-,-
Ground Throw,1500,Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,-,-,-4,=+1,-,4,-,-,-,-,-
236L,800,All,16,-,-,-7,-3,-,2,-,-,-,-,-
236M,800,All,16,-,-,-7,-3,-,2,-,-,-,-,-
236H,350*3,All,16,-,-,=+6,HKD,-,2,-,-,-,-,-
236[L],900,All,41,-,-,-4,0,-,2,-,-,-,-,-
236[M],900,All,41,-,-,-4,0,-,2,-,-,-,-,-
236[H],"300,400*3",All,30,-,-,=+12,HKD,-,2,-,-,-,-,-
623L,"700,300","Mid, All",7,-,-,-17,KD,-,"4, 3 (10) [14]",-,-,-,-,-
623M,"700,300*2","Mid*1, All",12,-,-,-23,KD,-,4 (10) [16],-,-,-,-,-
623H,"400,200*2,300*2,150","Mid, All",7,-,-,-62,HKD,-,4 (10) [18],-,-,-,-,-
214L,350*2,Mid,15,-,-,-6,-2,-,3 [2],-,-,-,-,-
214M,400*2,Mid,19,-,-,-4,0,-,3 [2],-,-,-,-,-
214H,300*2,Mid,13,-,-,-4,0,-,3,-,-,-,-,-
236236H,"Azimuth:500,100*15,50*23,350=3500
",Mid,-,-,-,-,-,-,4 (20) [25],-,-,-,-,-
236236H Full combo,"Zenith:500,100*15,50*27,350=3700",Mid,-,-,-,-,-,-,4 (20) [25],-,-,-,-,-
236236U,"1500,100*6,2400=4500",Mid,-,-,-,-,-,-,4 (30) [35],-,-,-,-,-
