Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,6,3,8,0,4,-,0,-,-,-,-,-
c.M,700,Mid,7,6,9,0,4,-,2,-,-,-,-,-
c.H,1000,Mid,9,4,12,3,7,-,4,-,-,-,-,-
Auto Combo 1 c.XX,300,Mid,9,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2 c.XXX,240,Mid,12,-,-,-4,0,-,3,-,-,-,-,-
f.L,350,Mid,8,3,15,-7,-3,-,0 [1],-,-,-,-,-
f.M,650,Mid,9,5,19,-9,-5,-,2 [1],-,-,-,-,-
f.H,900,Mid,13,8,23,-14,-10,-,3 [2],-,-,-,-,-
2L,400,Low,6,3,9,-1,3,-,0,-,-,-,-,-
2M,600,Low,11,5,20,-10,-6,-,2 [1],-,-,-,-,-
2H,1000,Mid,14,4,16,-3,1,-,3,-,-,-,-,-
2U,700,Low,9,6,16,-7,HKD,-,2 [1],-,-,-,-,-
j.L,400,High/Air,7,-,-,-,-,-,2 [1],-,-,-,-,-
j.M,600,High/Air,9,-,-,-,-,-,2 [1],-,-,-,-,-
j.H,800,High/Air,10,-,-,-,-,-,3 [2],-,-,-,-,-
5U,100x15(1500),Mid,16,22,19,-2,2,-,4,-,-,-,-,-
j.U,600,All,15,-,-,-,-,-,2 [1],-,-,-,-,-
Ground Throw,"500,1000 (1500)",Throw,8,-,-,-,HKD,-,"0, 4",-,-,-,-,-
Air Throw,"1000,500(1500)",Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-39 Throw 10-37 Low 9-38 Airborne
236L,400,All,21,-,-,-8,KD,-,0,-,-,-,-,-
236M,400,All,32,-,-,-8,KD,-,0,-,-,-,-,-
236H,400,All,18,-,-,-8,KD,-,0,-,-,-,-,-
236L > X,800,-,-,-,-,-,KD,-,4,-,-,-,-,-
236M > X,1200,-,-,-,-,-,KD,-,4,-,-,-,-,-
236H > X,400+1200,-,-,-,-,-,HKD,-,4,-,-,-,-,-
236L > 4X,0,-,-,-,-,-,KD,-,4,-,-,-,-,-
236M > 4X,0,-,-,-,-,-,KD,-,4,-,-,-,-,-
236H > 4X,0,-,-,-,-,-,HKD,-,4,-,-,-,-,-
623L,1000,All,7,-,-,-16,KD,-,3,-,-,-,-,-
623M,"800,500(1300)",All,13,-,-,-11,KD,-,4,-,-,-,-,-
623H,450x3(1350),Mid,11,-,-,-26,HKD,-,4 (10) [18],-,-,-,-,-
214L,"750,150,150(1000)",Mid,16,12,16,-5,-,-,2,-,-,-,-,-
214M,"550,150,150,150,150,150(1300)",Mid,27,21,16,-3,KD,-,3,-,-,-,-,-
214H,"550,150,150,150,150,150(1300)",Mid,16,21,16,-3,HKD,-,3,-,-,-,-,-
22L,500~200x5(1000),All,16,-,-,-,-,-,2,62,-,-,-,-
22M,500~200x5(1000),All,16,-,29,-,-,-,2,62,-,-,-,-
22H,200x5(1000),All,45,-,-,-,-,-,2,62,-,-,-,-
236236H,400x5(2000),All,7+8,-,-,-,-,-,4 [8],-,-,-,-,-
214214H,-,N/A,7+0,-,-,-,-,-,-,-,-,-,-,-
236236U,4500(3500),Mid,7+3,-,-,-37,HKD,-,4 (30) [35],-,-,-,-,-
