Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,+2,+6,-,0,-,-,-,-,-
c.M,700,Mid,6,3,10,0,+4,-,2,-,-,-,-,-
c.H,1200,Mid,8,4,18,-3,+1,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,+1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,280,Mid,-,-,-,-5,-1,-,3,-,-,-,-,-
f.L,400,Mid,6,3,13,-3,+1,-,1,-,-,-,-,-
f.M,700,Mid,8,3,18,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,10,5,20,-9,-5,-,3,-,-,-,-,-
2L,400,Low,6,3,6,+2,+6,-,0,-,-,-,-,-
2M,700,Mid,7,5,9,+1,+5,-,2,-,-,-,-,-
2H,1000,Mid,9,6,24,-13,-9,-,3,-,-,-,-,-
2U,700,Low,7,6,21,-12,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.U,700,High/Air,12,-,-,-,-,-,2,-,-,-,-,-
5U,1000/1200/1400/1600/2000,Mid,22,9,13,-5,-,-,3,-,-,-,-,-
5U Cancel,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ground Throw,"1000,500(1500)",Throw,8,-,-,-,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,+1,-,4,-,-,-,-,4-31 Throw 9-31 Low 8-30 Airborne
236L,800,All,15,-,-,-7,-3,-,2,-,-,-,-,-
236M,"400,800(1200)","Mid, All",13,-,-,-4,0,-,2,-,-,-,-,-
236H,350*3(1050),All,15,-,-,+6,-,-,2,-,-,-,-,-
623L,"700,300(1000)","Mid, All",7,-,-,-17,KD,-,"4, 3 (10) [14]",-,-,-,-,-
623M,"700,300,300","Mid*2, All",7,-,-,-26,KD,-,4 (16),-,-,-,-,-
623H,"400,200,200,300,150,150","Mid, All",7,-,-,-26,HKD,-,4 (10) [18],-,-,-,-,-
214L,700,Mid,13,2,19,-6,-2,-,2,-,-,-,-,-
214M,1200,Mid,16,13,39,-10,KD,-,2,-,-,-,-,-
214H,1200,Mid,13,13,37,-8,HKD,-,3,-,-,-,-,-
236236H,"500,3000",Mid,6+5,-,-,-13,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"1000,1000,500,500,500,*1000",All,8+5,-,-,-3,HKD,-,4,-,-,-,-,-
