Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,4,5,2,6,-,0,-,-,-,-,-
c.M,700,Mid,6,3,13,-1,3,-,2,-,-,-,-,-
c.H,1200,Mid,8,5,22,-8,-4,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,280,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,6,12,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,9,4,17,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,9,4,23,-10,-6,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,7,5,15,-5,-1,-,2,-,-,-,-,-
2H,1000,Mid,9,6,20,-9,-5,-,3,-,-,-,-,-
2U,700,Low,8,5,21,-11,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,Until Landing,-,-,-,-,1,-,-,-,-,-
j.M,600,High/Air,6,-,-,-,-,-,2,-,-,-,-,-
j.H,800,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.U,700,High/Air,13,-,-,-,-,-,2,-,-,-,-,-
Slash 5U Level 1,700,Mid,14~??+9,6,24,-15,-11,-,2,-,-,-,-,-
Slash 5U Level 2,1000,Mid,14~??+9,6,24,-13,-9,-,3,-,-,-,-,-
Slash 5U Level 3,1200,Mid,14~??+9,6,24,-11,Crumple,-,4,-,-,-,-,-
Shield Frontstep 5U > 66,-,-,-,-,19,-5/-3/-1,-1/+1/Crumple,-,-,-,-,-,-,-
Shield Backstep 5U > 44,-,-,-,-,22,-8/-6/-4,-4/-2/Crumple,-,-,-,-,-,-,-
Ground Throw,1500,Throw,8,-,Whiff: 40,HKD,HKD,Throw,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,-,HKD,Airthrow,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,2,21,-4,1,-,4,-,-,-,-,4-31 Throw 13-27 Low 12-26 Airborne
236L,800,All,16,-,Total 42,-10,-6,-,2,-,-,-,-,-
236M,800,All,16,-,Total 42,-10,-6,-,2,-,-,-,-,-
236H,350350350,All,16,-,Total 42,4,KD,-,2,-,-,-,-,-
623L,1000,"Mid, All",7,-,-,-17,KD,-,3 (10) [14],-,-,-,-,-
623M,800500,"Mid, All",44142,-,-,-17,KD,-,4 (10) [16],-,-,-,-,-
623H,800150150150150,Mid,"7,10",-,-,-17,HKD,-,4 (10) [18],-,-,-,-,-
214L,1000,Mid,18,6,21,-10 (at worst),KD,-,3 [2],-,-,-,-,-
214M,1400,Mid,21,6,21,-8 (at worst),KD,-,4 [2],-,-,-,-,-
214H,1200 [1600],Mid,16 [17-76],8,21,-10 (at worst) [+2],HKD,-,4 [3],-,-,-,-,-
236236H,"700, 800, 2000 = 3500 [700, 800, 1000 = 2500]",Mid,8+5,-,-,-10,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"500*6, 200*3, 400, 500 = 4500 [500*7 = 3500]",Mid,6+6,-,-,-51,HKD,-,4 (30) [35],-,-,-,-,-
