Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,6,3,4,2,6,-,0,-,-,-,-,-
c.M,700,Mid,7,1,12,0,4,-,2,-,-,-,-,-
c.H,1200,Mid,12,6,13,-2,2,-,4,-,-,-,-,-
Auto Combo 1c.XX,400,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,320,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,3,8,2,6,-,1,-,-,-,-,-
f.M,700,Mid,8,3,11,-6,-2,-,2,-,-,-,-,-
f.H,1100,Mid,13,6,19,-8,-4,-,3,-,-,-,-,-
2L,400,Mid,6,3,9,2,6,-,0,-,-,-,-,-
2M,700,Low,8,5,13,-2,2,-,2,-,-,-,-,-
2H,500+500,Mid,11,4,15,-8,-4,-,3,-,-,-,-,-
2U,900,Low,7,6,28,-19,HKD,-,3,-,-,-,-,-
j.L,400,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.M,600,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.H,900,High/Air,11,-,-,-,-,-,3 [2],-,-,-,-,-
j.U,800,High/Air,12,-,-,-,-,-,3 [2],-,-,-,-,-
5U,1000,Throw,37,-,-,-,-,-,"0, 4",-,-,-,-,-
Ground Throw,1500,Throw,8,-,-,-,-,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,-,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-34 Throw 12-31 Low 9-33 Airborne
236L,1000,Mid,20,3,14,-2,3,-,2,-,-,-,-,-
236M,1200,Mid,28,6,11,2,7,-,4,-,-,-,-,-
236H,500,Mid,18,6,11,2,13,-,4,-,-,-,-,-
623L,1200,Airthrow,6,-,-,-,KD,-,"0, 4",-,-,-,-,-
623M,2000,Airthrow,12,-,-,-,KD,-,"0, 4",-,-,-,-,-
623H,2500,Airthrow,6,-,-,-,KD,-,"0, 4",-,-,-,-,-
214L,1200 [1300],Mid,18 [13],6,21,5,KD,-,4 [2],-,-,-,-,-
214M,1500 [1600],Mid,35 [28],6,20,6,KD,-,4 [2],-,-,-,-,-
214H,1300 [1400],Mid,18 [16],6,21,5,HKD,-,4 [3],-,-,-,-,-
360L,2000,Throw,6,3,-,HKD,HKD,-,"0, 4",-,-,-,-,-
360M,2500,Throw,9,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
360H,3000,Throw,6,3,-,HKD,HKD,-,"0, 4",-,-,-,-,-
j.360L,2000,Airthrow,6,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
j.360M,2500,Airthrow,9,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
j.360H,3000,Airthrow,6,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
236236H Strike,3500,Mid,7+8,-,-,-11,HKD,-,4 (20) [25],-,-,-,-,-
214214H Throw,4000,Throw,6+0,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
720U,5000,Throw,6+0,-,-,HKD,HKD,-,0,-,-,-,-,-
