Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,350,Mid,5,2,7,2,6,-,0,-,-,-,-,-
c.M,650,Mid,6,1,14,0,4,-,2,-,-,-,-,-
c.H,"600, 400",Mid,7,9,18,-2,2,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,350,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,350,Mid,5,2,7,2,6,-,0,-,-,-,-,-
f.M,600,Mid,7,3,17,-5,-1,-,2,-,-,-,-,-
f.H,900,Mid,10,3,22,-8,-4,-,3,-,-,-,-,-
2L,350,Low,6,1,8,2,6,-,0,-,-,-,-,-
2M,600,Mid,7,2,15,-2,2,-,2,-,-,-,-,-
2H,800,Mid,10,5,24,-12,-8,-,3,-,-,-,-,-
2U,700,Low,8,15,15,-15,HKD,-,2 [1],-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,7,-,-,-,-,-,1,-,-,-,-,-
j.H,400*2,High/Air,10,-,-,-,-,-,1,-,-,-,-,-
j.U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U > 5U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U > 6U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U > 4U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U > 2U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ground Throw,1500,Throw,8,-,-,-,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,5,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-31 Throw 9-31 Low 9-30 Airborne
236L,700,All,33,-,-,4,8,-,2,-,-,-,-,-
236M,700,All,37,-,-,4,8,-,2,-,-,-,-,-
236H,350*3,All,33,-,-,29,48,-,2,-,-,-,-,-
66L,800,Mid,16,6,18,-9,KD,-,2,-,-,-,-,-
66M,1400,Mid,25,9,20,-10,KD,-,4 [2],-,-,-,-,-
66H,1000,Mid,20,9,16,-6,HKD,-,4 [3],-,-,-,-,-
Southern Cross,,,,,,,,,,,,,,
214L,"300, 400, 400",Mid,14,5,13,-3,1,-,2,-,-,-,-,-
214L4X,400,Mid,9,-,-,-4,0,-,2,-,-,-,-,-
214L4X4X,400,Mid,-,-,-,-16,KD,-,2,-,-,-,-,-
214M,"500, 500, 600",Mid,21,4,13,-4,0,-,2,-,-,-,-,-
214M4X,500,Mid,9,-,-,-4,0,-,2,-,-,-,-,-
214M4X4X,600,Mid,-,-,-,-16,KD,-,2,-,-,-,-,-
214H,"300, 350, 400, 450, 500",Mid,11,3,15,-3,1,-,2,-,-,-,-,-
214H4X,350,Mid,-,-,-,-4,0,-,2,-,-,-,-,-
214H4X4X,400,Mid,-,-,-,-4,0,-,2,-,-,-,-,-
214H4X4X4X,450,Mid,-,-,-,-4,0,-,2,-,-,-,-,-
214H4X4X4X4X,500,Mid,-,-,-,-16,HKD,-,2,-,-,-,-,-
22L,1600,High/Air,-,-,-,-17,KD,-,4 [?],-,-,-,-,-
22M,1600,High/Air,-,-,-,-17,KD,-,4 [?],-,-,-,-,-
22H,1600,High/Air,-,-,-,-17,HKD,-,4 [?],-,-,-,-,-
236236H,"500, 100*15, 1000",Mid,9+4,-,-,-12,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"1000*2, 2000",Mid,10+9,-,-,-,HKD,-,4 (30) [35],-,-,-,-,-
