Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,6,3,9,-1,3,-,0,-,-,-,-,-
c.M,700,Mid,7,3,12,0,4,-,2,-,-,-,-,-
c.H,400*3,Mid,11,6,21,-4,0,-,4,-,-,-,-,-
"Auto Combo 1
c.XX",300,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,300,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Low,8,6,6,1,5,-,1,-,-,-,-,-
f.M,700,Mid,10,7,15,-7,-3,-,2,-,-,-,-,-
f.H,800,All,16,14,12,-2,2,-,2,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,8,6,12,-3,1,-,2,-,-,-,-,-
2H,800,All,11,-,-,-5,-1,-,2,-,-,-,-,-
2U,700,Low,13,15,14,-14,HKD,-,2 [1],-,-,-,-,-
j.L,400,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.M,350*2,High/Air,8,-,-,-,-,-,2,-,-,-,-,-
j.H,800,High/Air,13,-,-,-,-,-,3 [2],-,-,-,-,-
j.U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5U,-,-,21,-,-,-,-,-,-,-,-,-,-,-
Ground Throw,1500,Throw,-,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Airthrow,-,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,=+1,-,4,-,-,-,-,4-47 Throw 14-41 Low  9-46F Airborne
236L,800,All,12,-,-,-5,=+2,-,3,-,-,-,-,-
236M,800,All,12,-,-,-5,=+2,-,3,-,-,-,-,-
236H,350*3,All,12,-,-,=+5,HKD,-,3,-,-,-,-,-
Starry Sky (Low),,,,,,,,,,,,,,
214L,800,All,13,-,-,-7,=+1,-,3,-,-,-,-,-
214M,800,All,13,-,-,-7,=+1,-,3,-,-,-,-,-
214H,350*3,All,13,-,-,=+3,KD,-,3,-,-,-,-,-
623L,"800, 150*4","Mid, All*4",22+18,-,-,=+18,=+30,-,"2, 4*4",-,-,-,-,-
623M,"800, 150*4","Mid, All*4",22+18,-,-,=+18,=+30,-,"2, 4*4",-,-,-,-,-
623H,"800, 150*4","Mid, All*4",15+25,-,-,=+21,=+31,-,"2, 4*4",-,-,-,-,-
22L,200*5,All,25,-,14,-,-,-,4,46,50,-,-,-
22M,200*5,All,25,-,14,-,-,-,4,46,50,-,-,-
22H,200*5,All,25,-,14,-,-,-,4,-,-,-,-,-
236236H,"1000*2, 1500 [1000*2, 500]",Mid,8+5,-,-,-65,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"200*10, 1000, 200*4, 200, 500 [200*10, 1000]",All,8+8,-,-,-29,HKD,-,4,-,-,-,-,-
