Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
Genji 5L,300,Mid,6,3,9,-1,3,-,0,-,-,-,-,-
Genji c.M,650,Mid,7,3,14,-2,2,-,2,-,-,-,-,-
Genji c.H,"450, 350 = 800",Mid,8,43892,23,-7,-3,-,4,-,-,-,-,-
Genji Auto Combo 1c.XX,350,Mid,9,-,-,-3,-,-,2,-,-,-,-,-
Genji Auto Combo 2c.XXX,350,Mid,12,-,-,-4,0,-,3,-,-,-,-,-
Genji f.M,600,Mid,9,4,17,-6,-2,-,2,-,-,-,-,-
Genji f.H,900,Mid,10,6,20,-9,-5,-,3,-,-,-,-,-
Genji 2L,350,Low,6,3,6,2,6,-,0,-,-,-,-,-
Genji 2M,600,Mid,8,4,14,-3,1,-,2,-,-,-,-,-
Genji 2H,900,Mid,11,3,25,-11,-7,-,3,-,-,-,-,-
Genji 2U,700,Low,8,6,20,-11,HKD,-,2,-,-,-,-,-
Genji j.L,400,High/Air,5,Until Landing,Until Landing,-,-,-,1,-,-,-,-,-
Genji j.M,550,High/Air,6,6,Until Landing,-,-,-,1,-,-,-,-,-
Genji j.H,700,High/Air,9,6,Until Landing,-,-,-,2,-,-,-,-,-
Genji j.U,800,High/Air,10,6,Until Landing,-,-,-,2,-,-,-,-,-
Kagura 5L,300,Mid,5,-,8,0,4,-,0,-,-,-,-,-
Kagura c.M,650,Mid,6,3,12,0,4,-,2,-,-,-,-,-
Kagura c.H,1100,Mid,10,6,15,-2,2,-,4,-,-,-,-,-
Kagura f.M,600,Mid,7,5,18,-5,-1,-,2,-,-,-,-,-
Kagura f.H,1000,Mid,9,6,20,-9,-5,-,3,-,-,-,-,-
Kagura 2L,350,Low,6,3,6,2,6,-,0,-,-,-,-,-
Kagura 2M,600,Mid,7,3,11,1,5,-,2,-,-,-,-,-
Kagura 2H,900,Mid,10,8,22,-13,-9,-,3,-,-,-,-,-
Kagura 2U,700,Low,7,6,21,-12,HKD,-,2,-,-,-,-,-
Kagura j.L,400,High/Air,5,Until Landing,Until Landing,-,-,-,1,-,-,-,-,-
Kagura j.M,550,High/Air,7,8,Until Landing,-,-,-,1,-,-,-,-,-
Kagura j.H,800,High/Air,12,9,Until Landing,-,-,-,2,-,-,-,-,-
Kagura j.U,800,High/Air,9,6,Until Landing,-,-,-,2,-,-,-,-,-
5U,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ground Throw,1500,Throw,7,3,31,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Airthrow,5,5,Until Landing+5,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,-,-,-,-,-,-,4,-,-,-,-,-
Genji 236L[g],1000 [700],Mid [All],14,7,39,-12,-4 (KD when close),-,2 [0],-,-,-,-,-
Genji 236M[g],1000 [700],Mid [All],32~70,7,21,10,14,-,2 [0],-,-,-,-,-
Genji 236H[g],1000 [700],Mid [All],15,7,25,6,HKD,-,2 [0],-,-,-,-,-
Genji 623L[g],"600, 400","Mid, All",7,43984,25+9 Landing,-23,KD,-,3 (10) [14],-,-,-,-,44105
Genji 623M[g],"800, 500","Mid, All",7,43984,31+9 Landing,-27,KD,-,4 (10) [16],-,-,-,-,1-13
Genji 623H[g],"650, 250*3",Mid,7,"2, 2, 2, 2",51+9 Landing,-27,HKD,-,4 (10) [18],-,-,-,-,1-16
Genji 214L[g],-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genji 214M[g],-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genji 214H[g],-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagura 236L[k],900,Mid,13,2,19,-6,KD,-,2,-,-,-,-,-
Kagura 236M[k],600*2,Mid,16,43863,21,-8,KD,-,2,-,-,-,-,-
Kagura 236H[k],400*3,Mid,15,38750,19,-6,HKD,-,4 [3],-,-,-,-,-
Kagura 623L[k],"700, 400","Mid, All",20,43984,22+9 Landing,-18,KD,-,4 (10) [14],-,-,-,-,-
Kagura 623M[k],"750, 600","Mid, All",42,43984,26+9 Landing,-22,KD,-,4 (10) [16],-,-,-,-,-
Kagura 623H[k],"700, 250*3",Mid,42,"2, 3, 2, 1",31+9 Landing,-22,HKD,-,4 (10) [18],-,-,-,-,-
Kagura 214L,1100,All,32,8,2+8 Landing,-3,KD,-,2,-,-,-,-,9-41 Low Invul
Kagura 214M[k],1200,All,38,7,3+8 Landing,-2,KD,-,2,-,-,-,-,9-47 Low Invul
Kagura 214H[k],1200,All,30,10,2+6 Landing,1,HKD,-,3 [2],-,-,-,-,9-41 Low Invul
Kagura j.214L[k],1000,All,5,7,-,+6~,KD,-,3 [1],-,-,-,-,-
Kagura j.214M[k],1000,All,-,-,-,-,KD,-,3 [1],-,-,-,-,-
Kagura j.214H[k],1100,All,5,-,-,+9~,HKD,-,4 [2],-,-,-,-,-
236236H,"1000, 1000, 1500 = 3500 [1000]",Mid,7+4,6,56,-43,HKD,-,4 (20) [25],-,-,-,-,44075
236236U,"200*10, 300*5, 1000 = 4500 [200*15, 500 = 3500]","Mid*1, All",7+7,3*15,48,-32,HKD,-,4 (30) [35],-,-,-,-,1-21
