Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,2,+6,-,0,-,-,-,-,-
c.M,700,Mid,7,3,12,0,+4,-,2,-,-,-,-,-
c.H,1200,Mid,10,6,15,-2,+2,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,280,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,3,15,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,8,5,17,-7,-3,-,2,-,-,-,-,-
f.H,1100,Mid,12,6,26,-15,-11,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,7,5,12,-2,2,-,2,-,-,-,-,-
2H,1000,Mid,11,5,24,-12,-8,-,3,-,-,-,-,-
2U,700,Low,7,6,19,-10,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,7,-,-,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,10,-,-,-,-,-,2,-,-,-,-,-
j.U,800,All,22,-,-,-,-,-,2 [1],-,-,-,-,-
5U,0,Throw,12,-,-,12,12,-,"0, 4",-,-,-,-,-
Ground Throw,1500,Throw,8,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-40 Throw 12-37 Low 11-39 Airborne
236L,800,All,19,-,-,-5,-1,-,2,-,-,-,-,-
236M,800 [900],All,22,-,-,-5,KD,-,2,-,-,-,-,-
236H,350*3 [400*3],All,20,-,-,3,HKD,-,2,-,-,-,-,-
623L,700400,"Mid, All",7,-,-,-26,KD,-,"4, 3 (10) [14]",-,-,-,-,-
623M,"300,700,400 [300,700,120*5]","Mid, All",9,-,-,-24[-32],KD,-,4 (10) [16],-,-,-,-,-
623H,"300,600,200*3 [300,700,100*7]",Mid,7,-,-,-24[-32],HKD,-,4 (10) [18],-,-,-,-,-
214L,-,-,11,-,-,-,-,-,-,-,-,-,-,-
214M,-,-,11,-,-,-,-,-,-,-,-,-,-,-
214H,-,-,11,-,-,-,-,-,-,-,-,-,-,-
214L > L,800,Low,7,3,22,-8,-4,-,3,-,-,-,-,-
214M > L,800[850],Low,7,-,-,-8,-4[KD],-,3[2],-,-,-,-,-
214H > L,850[900],Low,7,-,-,-1,+3[HKD],-,4[3],-,-,-,-,-
214L > M,1400,Mid,20,6,21,2,KD,-,4,-,-,-,-,-
214M > M,1400[1700],Mid,20,-,-,2,KD,-,4 [3],-,-,-,-,-
214H > M,1500[1800],Mid,20,-,-,2,HKD,-,3,-,-,-,-,-
214L > H,1400,Mid,10,3,52,-16,KD,-,4,-,-,-,-,-
214M > H,1400[1500(2000),Mid,10,-,-,-16[-4],KD,-,4,-,-,-,-,-
214H > H,1500[1500(2300)],Mid,10,-,-,-16[-4],HKD,-,4,-,-,-,-,-
22L,400,Mid,11,6,20,-13,-,-,1,-,-,-,-,-
22M,400,Mid,11,6,34,-27,-,-,1,-,-,-,-,-
22H,400,Mid,11,6,44,-37,-,-,1,-,-,-,Mid,-
236236H,"1000,200x8(1000,200x7,1200)",Mid [Unblockable],6+7~147,-,-,-18,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"150x(6-12),1000,1900/2000 = 3800-4800
","Mid, All",9+7,-,-,-15,HKD,-,4 (30) [35],-,-,-,-,-
236236U,Non-Cinematic Projectile= 2000,"Mid, All",9+7,-,-,-15,HKD,-,4 (30) [35],-,-,-,-,-
