Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,6,2,6,-,0,-,-,-,-,-
c.M,700,Mid,6,5,10,0,4,-,2,-,-,-,-,-
c.H,1200,Mid,10,6,15,-2,2,-,4,-,-,-,-,-
Auto Combo 1c.XX,400,Mid,9,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,400,Mid,12,-,-,-4,0,-,3,-,-,-,-,-
f.L,400,Low,7,3,15,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,8,5,16,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,11,6,21,-10,-6,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,7,6,12,-3,1,-,2,-,-,-,-,-
2H,1000,Mid,11,3,24,-10,-6,-,3,-,-,-,-,-
2U,700,Low,11,6,21,-12,KD,-,2,-,-,-,-,-
j.L,400,High/Air,5,Until Landing,-,-,-,-,1,-,-,-,-,-
j.M,600,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
j.H,800,High/Air,8,-,-,-,-,-,2,-,-,-,-,-
j.U,800,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
5U,-,-,3,-,-,-,-,-,-,-,-,-,-,-
5U 6X,300,Mid,11,3,21,-3,3,-,4,-,-,-,-,-
Ground Throw,1500,Throw,8,-,-,-,-,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,5,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,-
236L,1100,Mid,15 [13],4,19,-3,1,-,2,-,-,-,-,-
236M,1400,Mid,26 [25],6,23,-2,2,-,3 [2],-,-,-,-,-
236H,1200,Mid,12,6,18,-2,2,-,2 [3],-,-,-,-,-
623L,1000,Mid,7,3,21,-7,KD,-,3,-,-,-,-,-
623M,1000,Mid,7,6,23,-12,KD,-,3,-,-,-,-,-
623H,1000,Mid,6,6,19,-7,KD,-,4,-,-,-,-,-
214L,250x4,All,13,17,14,-1,3,-,2,-,-,-,-,-
214M,300x4,Mid,21,17,14,-1,3,-,2,-,-,-,-,-
214H,300x4,Mid,13,17,12,1,5,-,2,-,-,-,-,-
22L,900,Mid,18,6,19,-4,KD,-,3,-,-,-,-,-
22M,1200,Mid,29,6,13,8,KD,-,3,-,-,-,-,-
22H,1100,Mid,15,6,11,4,KD,-,3,-,-,-,-,-
236236H,1000+2500,Mid,7+6,-,-,-29,KD,-,4 (20) [25],-,-,-,-,-
Macho Ultimatum,,,,,,,,,,,,,,
236236U,-,-,10+4,-,-,-,-,-,-,-,-,-,-,-
236X > 236X during Macho Ultimatum,1000,Mid,14,-,-,-10,KD,-,4 [3],-,-,-,-,-
236X > 214X during Macho Ultimatum,1000,Mid,20,-,-,2,4,-,4,-,-,-,-,-
236236U during Macho Ultimatum,0+1000+1000+1500,"Throw, Mid",8+10,-,-,-,-,-,"0, 4 (30) [35]",-,-,-,-,-
