Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,7,3,5,3,7,-,0 [1],-,-,-,-,-
c.M,800,Mid,8,3,10,3,7,-,3,-,-,-,-,-
c.H,1500,Mid,14[35],7,21,-8,-4,-,4,-,-,-,-,-
Auto Combo 1c.XX,400,Mid,-,-,-,-3,1,-,2,-,-,-,-,-
Auto Combo 2c.XXX,320,Mid,-,-,-,-4,0,-,3,-,-,-,-,-
f.L,700,Mid,8,4,10,1,5,-,2,-,-,-,-,-
f.M,800,Mid,11,6,16,-5,-1,-,3,-,-,-,-,-
f.H,1300,Mid,19[39],6,30,-35,-11,-,4,-,-,-,-,-
2L,400,Mid,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Low,9,4,17,-9,HKD,-,2,-,-,-,-,-
2H,1100,Mid,13[33],6,26,-17,-13,-,4,-,-,-,-,H
2U,900,Low,16,3,24,-,HKD,-,3,-,-,-,-,-
j.L,400,High/Air,6,-,-,-,-,-,1,-,-,-,-,-
j.M,700,High/Air,14,-,-,-,-,-,3 [2],-,-,-,-,-
j.H,900,High/Air,13,-,-,-,-,-,4 [2],-,-,-,-,-
j.U,800,Mid,27,-,-,-,-,-,3,-,-,-,-,-
5U,1000,Mid,21,1,24,-11,14,-,3,-,-,-,-,-
Ground Throw,1500,Throw,7,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Air Throw,1500,Airthrow,5,-,-,HKD,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-31 Throw 12-26 Low 8-30 Airborne
214L,800,All,23,-,-,-3,KD,-,2,-,-,-,-,-
214M,"400, 800","Mid, All",12,-,-,-9,KD,-,43864,-,-,-,-,-
214H,"400, 800","Mid, All",9,-,-,6,HKD,-,43864,-,-,-,-,-
632146L,2000,Throw,12,-,-,-,KD,-,"0, 4",-,-,-,-,-
632146M,2500,Airthrow,-,-,-,-,KD,-,"0, 4",-,-,-,-,-
632146H,2000,Throw,-,-,-,-,HKD,-,"0, 4",-,-,-,-,-
[4]6L,1300,Mid,19,18,15,-8,KD,-,4 [2],-,-,-,-,-
[4]6M,1800,Mid,26,18,19,-12,KD,-,4 [3],-,-,-,-,-
[4]6H,2000,Mid,27[79],33,17,-4,HKD,-,4,-,-,-,-,-
22L,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22H,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22X > L,1500,Mid,12[32],3,21,+1[+2],KD,-,4,-,-,-,-,-
22X > M,1500,Low,16[36],6,29,-10,KD,-,4,-,-,-,-,-
22X > H,2000,Mid,15[40],2,31,-4[+16],KD,-,4,-,-,-,-,-
22X > U,2000,Mid,28[48],6,30,-11,HKD,Super Armor,4 [18],-,-,-,-,-
236236H,"1300, 800, 100*18 [1300*2]",Mid,6+5,-,-,-26,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"2000, 250*4, 2000 [3000]",Mid,8+7,-,-,-27,HKD,-,4 (30) [35],-,-,-,-,-
