Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,5,2,6,-,0,-,-,-,-,-
c.M,700,Mid,6,3,14,-3,1,-,2,-,-,-,-,-
c.H,1200,Mid,9,6,16,-4,0,-,4,-,-,-,-,-
"Auto Combo 1
c.XX",350,Mid,9,X,X,-3,1,-,2,-,-,-,-,-
"Auto Combo 2
c.XXX",280,Mid,13,X,X,-4,0,-,3,-,-,-,-,-
f.L,400,Mid,6,3,14,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,11,4,15,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,9,6,17,-7,-3,-,3,-,-,-,-,-
2L,400,Low,6,3,5,2,6,-,0,-,-,-,-,-
2M,700,Mid,9,6,11,-3,1,-,2,-,-,-,-,-
2H,1000,Mid,11,5,23,-12,-8,-,3,-,-,-,-,-
2U,300600,Low,"7, 25",3.3,14,-7,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,Until landing,X,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,7,6,X,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,7,9,X,-,-,-,2,-,-,-,-,-
j.U,500,High/Air,5,Until landing,X,-,-,-,2 [1],-,-,-,-,-
5U,300+100x,Mid,"8, 18",-,-,-2,2,-,"2, 2 [1]xN",-,-,-,-,-
Ground Throw,"500,1000(1500)",Throw,-,-,-,-,HKD,-,36529,-,-,-,-,-
Air Throw,1500,Airthrow,-,-,-,-,HKD,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,26,6,17,-4,1,-,4,-,-,-,-,4-36 Throw 12-35 Low 9-35 Airborne
236L,700,All,20,12,21,-7~0,-3~7,-,2,-,-,-,-,-
236M,900,All,28,12,21,-7~0,KD,-,2,-,-,-,-,-
236H,"200, 700",All,18,12,23,-7~0,HKD,-,2,-,-,-,-,-
66L,600,Mid,16,-,-,-8~-3,KD,-,3 [2],-,-,-,-,-
66M,800,Mid,19,-,-,-14~-3,KD,-,3 [2],-,-,-,-,-
66H,600,Mid,15,-,-,-14~-3,HKD,-,3,-,-,-,-,-
22L,800,Mid,12,-,-,-,KD,-,3 [2],-,-,-,-,-
22M,1000,Mid,12,-,-,-,KD,-,3 [2],-,-,-,-,-
22H,800,Mid,12,-,-,-,HKD,-,3,-,-,-,-,-
Spear of Arvess (Fall),,,,,,,,,,,,,,
j.22L,800,All,-,-,-,-,-,-,3 [1],-,-,-,-,-
j.22M,800,All,-,-,-,-,-,-,3 [1],-,-,-,-,-
j.22H,800,All,-,-,-,-,HKD,-,3 [2],-,-,-,-,-
214L,-,-,3,40,21,-,-,-,-,-,-,-,-,-
214M,-,-,3,40,21,-,-,-,-,-,-,-,-,-
214H,-,-,1,42,19,-,-,-,-,-,-,-,-,-
214X > L,1000,Mid,15,3,22,-9,KD,-,3,-,-,-,-,-
214X > M,1000,Mid,9,6,19,-9,KD,-,3,-,-,-,-,-
214X > H,600,Mid,8,4,15,-,KD,-,2,-,-,-,-,-
236236H,"500, 300*5, 1500 = 3500 [500, 300*5, 500 = 2500]",Mid,8+5,-,-,-21,HKD,-,4 (20) [25],-,-,-,-,-
j.236236H,"500, 300*5, 1500 = 3500 [500, 300*5, 500 = 2500]",All,-,-,-,-,HKD,-,4 (20) [25],-,-,-,-,-
236236U,"2000, 100*13, 1200 = 4500 [2000, 500*3 = 3500]",Mid,7+6,-,-,-42,HKD,-,4 (30) [35],-,-,-,-,-
