Version,Damage,Guard,Startup,Active,Recovery,On Block,On Hit,Attribute,Level,Blockstun,Hitstun,Untech,Hitstop,Invul
c.L,400,Mid,5,3,7,2,6,-,0,-,-,-,-,-
c.M,700,Mid,7,3,12,0,4,-,2,-,-,-,-,-
c.H,1200,Mid,9,6,18,-5,-1,-,4,-,-,-,-,-
Auto Combo 1c.XX,350,Mid,-,-,-,-,-,-,2,-,-,-,-,-
Auto Combo 2c.XXX,350,Mid,-,-,-,-,-,-,3,-,-,-,-,-
f.L,400,Mid,6,3,15,-5,-1,-,1,-,-,-,-,-
f.M,700,Mid,9,5,16,-6,-2,-,2,-,-,-,-,-
f.H,1000,Mid,10,5,19,-7,-3,-,3,-,-,-,-,-
2L,400,Low,6,3,6,2,6,-,0,-,-,-,-,-
2M,700,Mid,8,4,14,-3,1,-,2,-,-,-,-,-
2H,1000,Mid,10,5,24,-12,-8,-,3,-,-,-,-,-
2U,700,Low,8,6,21,-12,HKD,-,2,-,-,-,-,-
j.L,400,High/Air,5,-,-,-,-,-,1,-,-,-,-,-
j.M,550,High/Air,8,-,-,-,-,-,1,-,-,-,-,-
j.H,800,High/Air,9,-,-,-,-,-,2,-,-,-,-,-
j.U,800,High/Air,7,-,-,-,-,-,2,-,-,-,-,-
5U,-,-,3,15~360,6,-,-,-,-,-,-,-,-,-
5U~6X,700,Mid,5,8,22,-20,KD,-,4 [10],-,-,-,-,-
Ground Throw,1500,Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Air Throw,1500,Throw,-,-,-,-,-,-,"0, 4",-,-,-,-,-
Overhead Attack,1000,High,-,-,-,-,-,-,4,-,-,-,-,-
236L,700,All,17,-,-,-2,2,-,3,-,-,-,-,-
236M,"300, 500*2",All,34,-,-,17,KD,-,3,-,-,-,-,-
236H,"160*5, 120*8",All,71,-,-,-,-,-,3,-,-,-,-,-
214L,700,Mid,16,4,19,-6,-2,-,3 [2],-,-,-,-,-
214M,800,Mid,19,4,17,-4,0,-,3 [2],-,-,-,-,-
214H,800,Mid,16,4,19,-4,0,-,4 [3],-,-,-,-,-
214X > L/M/H,400,Low,18,7,18,-8,KD,-,3 [2] [3 on HX],-,-,-,-,-
214X > 6L/M/H,600,Mid,20,7,20,-8,KD,-,4 [2] [3 on H6X],-,-,-,-,-
623L,250*4,All,30,-,-,-2,=+2,-,2,-,-,-,-,-
623M,"300, 200*5",All,"17, 41",-,-,0,=+4,-,"2 [3, 2]",-,-,-,-,-
623H,"300, 200*5","Mid, All*5",9,-,-,=+2,HKD,-,"2 [3, 2]",-,-,-,-,-
214L,700,Mid,16,4,19,-6,-2,-,3 [2],-,-,-,-,-
214M,800,Mid,19,4,17,-4,0,-,3 [2],-,-,-,-,-
214H,800,Mid,16,4,19,-4,0,-,4 [3],-,-,-,-,-
22L,"400, 700","Mid, All",15 [19],-,-,-14 (-2) [+3],-10 (+2) [+7],-,"0 [3], 2",-,-,-,-,-
22M,"400, 700","Mid, All",15 [19],-,-,-14 [+3],-10 [+7],-,"0 [3], 2",-,-,-,-,-
22H,"400, 350*3","Mid, All*3",15 [19],-,-,=+5 [+12],=+9 [+16],-,"0 [3], 2",-,-,-,-,-
j.22L,700,All,22,-,-,-,-,-,2,-,-,-,-,-
j.22M,700,All,22,-,-,-,-,-,2,-,-,-,-,-
j.22H,700,All,22,-,-,-,HKD,-,2,-,-,-,-,-
236236H,3500,Mid,8+4,-,-,-27,HKD,-,4 (20) [25],-,-,-,-,-
236236U,4500,Mid,8+7,-,-,-28,HKD,-,4 (30) [35],-,-,-,-,-
